key,summary,description,assignee
HADOOP-15978,Add Netty support to the RPC server,Adding Netty will allow later using a native TLS transport layer with much better performance than that offered by Java's SSLEngine.,daryn
HADOOP-15977,RPC support for TLS,Umbrella ticket to track adding TLS and mutual TLS support to RPC.,daryn
HADOOP-15975,ABFS: remove timeout check for DELETE and RENAME,"Currently, ABFS rename and delete is doing a timeout check, which will fail the request for rename/delete when the target contains tons of file/dirs.

Because timeout check is already there for each HTTP call, we should remove the timeout check in RENAME and DELETE.",danielzhou
HADOOP-15974,Upgrade Curator version to 2.13.0 to fix ZK tests,"TestLeaderElectorService hangs waiting for the TestingZooKeeperServer to start and eventually gets killed by the surefire timeout.
",ajisakaa
HADOOP-15973,Configuration: Included properties are not cached if resource is a stream,"If a configuration resource is a bufferedinputstream and the resource has an included xml file, the properties from the included file are read and stored in the properties of the configuration, but they are not stored in the resource cache. So, if a later resource is added to the config and the properties are recalculated from the first resource, the included properties are lost.",eepayne
HADOOP-15972,ABFS: update LIST_MAX_RESULTS,"This will be the temporary fix, as the service fix take much longer time to roll out.",danielzhou
HADOOP-15970,Upgrade plexus-utils from 2.0.5 to 3.1.0,"Apache Hadoop uses plexus-utils 2.0.5 and it is vulnerable.
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2017-1000487

Let's update the version or remove the usage of this library.",ajisakaa
HADOOP-15969,ABFS: getNamespaceEnabled can fail blocking user access thru ACLs,"The Get Filesystem Properties operation requires Read permission to the Filesystem.  Read permission to the Filesystem can only be granted thru RBAC, Shared Key, or SAS.  This prevents giving low privilege users access to specific files or directories within the filesystem.  An administrator should be able to set an ACL on a file granting read permission to a user, without giving them read permission to the entire Filesystem.

Fortunately there is another way to determine if HNS is enabled.  The Get Path Access Control (getAclStatus) operation only requires traversal access, and for the root folder / all authenticated users have traversal access.",danielzhou
HADOOP-15968,ABFS: add try catch for UGI failure when initializing ABFS,"There are cases that primary group doesn't exist for the user, need to add try catch when fetching usergroup info.",danielzhou
HADOOP-15966,Hadoop Kerberos broken on macos as java.security.krb5.realm is reset: Null realm name (601),"HADOOP-8719 may have been valid at some point, but since then the world has moved on

* nobody should be using Hadoop without Kerberos
* kerberos support on java 8 + macos works just fine

The clause to reset the java system properties is enough to stop kerberos working, even
when the user is kinited in.

Propose: remove/revert the changes. If people want it, they can set the options in {{HADOOP_CLIENT_OPTS}}",stevel@apache.org
HADOOP-15965,Upgrade to ADLS SDK which has major performance improvement for ingress/egress,"Upgrade ADLS SDK to version 2.3.2 which has major improvements
 # Add special handling for 404 errors when requesting tokens from MSI
 # Fix liststatus response parsing when filestatus object contains array in one field.
 # Use wildfly openssl native binding with Java. This is a workaround to [https://bugs.openjdk.java.net/browse/JDK-8046943]issue. 2X performance boost over HTTPS. Similar to HADOOP-15669",vishwajeet.dusane
HADOOP-15962,FileUtils Small Buffer Size,"Note sure if this code is even being used, but it implements a copy routing utilizing a 2K buffer.  Modern JVM uses 8K, but 4K should be minimum.  Also, there are libraries for this stuff.

{code:java|title=FileUtil.java}
    int count;
    byte data[] = new byte[2048];
    try (BufferedOutputStream outputStream = new BufferedOutputStream(
        new FileOutputStream(outputFile));) {

      while ((count = tis.read(data)) != -1) {
        outputStream.write(data, 0, count);
      }

      outputStream.flush();
    }
{code}

I also fixed a couple of check-style warnings.",belugabehr
HADOOP-15960,Update guava to 27.0-jre in hadoop-common,com.google.guava:guava should be upgraded to 27.0-jre due to new CVE's found [CVE-2018-10237|https://nvd.nist.gov/vuln/detail/CVE-2018-10237].,gabor.bota
HADOOP-15959,revert HADOOP-12751,"HADOOP-12751 doesn't quite work right. Revert.

(this patch is so jenkins can do the test runs)",stevel@apache.org
HADOOP-15958,Revisiting LICENSE and NOTICE files,"Originally reported from [~jmclean]:
* NOTICE file incorrectly lists copyrights that shouldn't be there and mentions licenses such as MIT, BSD, and public domain that should be mentioned in LICENSE only.
* It's better to have a separate LICENSE and NOTICE for the source and binary releases.

http://www.apache.org/dev/licensing-howto.html",ajisakaa
HADOOP-15957,WASB: Add asterisk wildcard support for PageBlobDirSet,"In WASB, property ""*fs.azure.page.blob.dir*"" only support literal directory name.
We need to add support for wildcard '*' to represent for any directory name.
For example, the following pattern should be supported:

{code:java}
/dir1/dir2 
/dir1/*/dir3
/dir1/*/*/dir4
/dir1/*/*/file
{code}
",danielzhou
HADOOP-15954,ABFS: Enable owner and group conversion for MSI and login user using OAuth,"Add support for overwriting owner and group in set/get operations to be the service principal id when OAuth is used. Add support for upn short name format.

 

Add Standard Transformer for SharedKey / Service 

Add interface provides an extensible model for customizing the acquisition of Identity Transformer.",danielzhou
HADOOP-15953,AliyunOSS: make AliyunCredentialsProvider compatible with the required constructor,"Hadoop aliyun module uses AliyunCredentialsProvider as default CredentialsProvider if user do not set fs.oss.credentials.provider. However, if user set fs.oss.credentials.provider to org.apache.hadoop.fs.aliyun.oss.AliyunCredentialsProvider, exception will be thrown like below:
{code:java}
java.io.IOException: org.apache.hadoop.fs.aliyun.oss.AliyunCredentialsProvider constructor exception. A class specified in fs.oss.credentials.provider must provide an accessible constructor accepting URI and Configuration, or an accessible default constructor.

 at org.apache.hadoop.fs.aliyun.oss.AliyunOSSUtils.getCredentialsProvider(AliyunOSSUtils.java:131)
 at org.apache.hadoop.fs.aliyun.oss.AliyunOSSFileSystemStore.initialize(AliyunOSSFileSystemStore.java:154)
 at org.apache.hadoop.fs.aliyun.oss.AliyunOSSFileSystem.initialize(AliyunOSSFileSystem.java:344)
 at org.apache.hadoop.fs.FileSystem.createFileSystem(FileSystem.java:3302)
 at org.apache.hadoop.fs.FileSystem.access$200(FileSystem.java:124)
 at org.apache.hadoop.fs.FileSystem$Cache.getInternal(FileSystem.java:3351)
 at org.apache.hadoop.fs.FileSystem$Cache.get(FileSystem.java:3319)
 at org.apache.hadoop.fs.FileSystem.get(FileSystem.java:479)
 at org.apache.hadoop.fs.contract.AbstractBondedFSContract.init(AbstractBondedFSContract.java:72)
 at org.apache.hadoop.fs.contract.AbstractFSContractTestBase.setup(AbstractFSContractTestBase.java:177)
 at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
 at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
 at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
 at java.lang.reflect.Method.invoke(Method.java:498)
 at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:50)
 at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12)
 at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:47)
 at org.junit.internal.runners.statements.RunBefores.evaluate(RunBefores.java:24)
 at org.junit.internal.runners.statements.RunAfters.evaluate(RunAfters.java:27)
 at org.junit.rules.TestWatcher$1.evaluate(TestWatcher.java:55)
 at org.junit.internal.runners.statements.FailOnTimeout$CallableStatement.call(FailOnTimeout.java:298)
 at org.junit.internal.runners.statements.FailOnTimeout$CallableStatement.call(FailOnTimeout.java:292)
 at java.util.concurrent.FutureTask.run(FutureTask.java:266)
 at java.lang.Thread.run(Thread.java:748)
Caused by: java.lang.NoSuchMethodException: org.apache.hadoop.fs.aliyun.oss.AliyunCredentialsProvider.<init>()
 at java.lang.Class.getConstructor0(Class.java:3082)
 at java.lang.Class.getDeclaredConstructor(Class.java:2178)
 at org.apache.hadoop.fs.aliyun.oss.AliyunOSSUtils.getCredentialsProvider(AliyunOSSUtils.java:125)
 ... 23 more
{code}
Because AliyunCredentialsProvider does not have corresponding constructor.
{code:java}
public class AliyunCredentialsProvider implements CredentialsProvider {
  private Credentials credentials = null;

  public AliyunCredentialsProvider(Configuration conf) throws IOException {

--------------------------------------------------
try {
  credentials =
      (CredentialsProvider)credClass.getDeclaredConstructor(
          URI.class, Configuration.class).newInstance(uri, conf);
} catch (NoSuchMethodException | SecurityException e) {
  credentials =
      (CredentialsProvider)credClass.getDeclaredConstructor()
      .newInstance();
}
{code}
 

*Although the documentation says you should provide a `specified class must provide an accessible constructor accepting java.net.URI and org.apache.hadoop.conf.Configuration` if you set this configuration*, we should make 

*AliyunCredentialsProvider* compatible with this.
{code:java}
<property>
  <name>fs.oss.credentials.provider</name>
  <description>
    Class name of a credentials provider that implements
    com.aliyun.oss.common.auth.CredentialsProvider. Omit if using access/secret keys
    or another authentication mechanism. The specified class must provide an
    accessible constructor accepting java.net.URI and
    org.apache.hadoop.conf.Configuration, or an accessible default constructor.
  </description>
</property>
{code}",wujinhu
HADOOP-15950,Failover for LdapGroupsMapping,"Currently, LdapGroupsMapping supports only a single ldap server url, this can obviously cause issues if the ldap instance goes down. This JIRA attempts to improve this by allowing users to list multiple ldap server urls, and performing a failover if we detect any issues.",lukmajercak
HADOOP-15948,Inconsistency in get and put syntax if filename/dirname contains space,"Inconsistency in get and put syntax if file/fdir name contains space. 

While copying file/dir from local to HDFS, space needs to be represented with %20. However, the same representation does not work for copying file to Local. Expectaion is to have same syntax for both get and put.

test:/ # mkdir /opt/
 test:/ # mkdir /opt/test\ space
 test:/ # vi /opt/test\ space/test\ file.txt
 test:/ # ll /opt/test\ space/
 total 4
 -rw-r--r-- 1 root root 7 Sep 12 18:37 test file.txt
 test:/ #
 *test:/ # hadoop fs -put /opt/test\ space/ /tmp/*
 *put: unexpected URISyntaxException*
 test:/ #
 *test:/ # hadoop fs -put /opt/test%20space/ /tmp/*
 test:/ #
 test:/ # hadoop fs -ls /tmp
 drwxr-xr-x - user1 hadoop 0 2018-09-12 18:38 /tmp/test space
 test:/ #
 *test:/ # hadoop fs -get /tmp/test%20space /srv/*
 *get: `/tmp/test%20space': No such file or directory*
 test:/ #
 *test:/ # hadoop fs -get /tmp/test\ space /srv/*
 test:/ # ll /srv/test\ space/
 total 4
 -rw-r--r-- 1 root root 7 Sep 12 18:39 test file.txt",ayushtkn
HADOOP-15947,Fix ITestDynamoDBMetadataStore test error issues,"When running regression hadoop-aws integration tests for HADOOP-15370, I got the following errors in ITestDynamoDBMetadataStore: 
{noformat}
[ERROR] Tests run: 40, Failures: 4, Errors: 2, Skipped: 0, Time elapsed: 177.303 s <<< FAILURE! - in org.apache.hadoop.fs.s3a.s3guard.ITestDynamoDBMetadataStore
[ERROR] testBatchWrite(org.apache.hadoop.fs.s3a.s3guard.ITestDynamoDBMetadataStore)  Time elapsed: 1.262 s  <<< ERROR!
java.lang.NullPointerException
	at org.apache.hadoop.fs.s3a.s3guard.ITestDynamoDBMetadataStore.doTestBatchWrite(ITestDynamoDBMetadataStore.java:365) (...)

[ERROR] testProvisionTable(org.apache.hadoop.fs.s3a.s3guard.ITestDynamoDBMetadataStore)  Time elapsed: 11.394 s  <<< FAILURE!
java.lang.AssertionError: expected:<20> but was:<10> (...)
org.apache.hadoop.fs.s3a.s3guard.ITestDynamoDBMetadataStore.testProvisionTable(ITestDynamoDBMetadataStore.java:594) (...)

[ERROR] testPruneUnsetsAuthoritative(org.apache.hadoop.fs.s3a.s3guard.ITestDynamoDBMetadataStore)  Time elapsed: 2.323 s  <<< ERROR!
java.lang.NullPointerException
	at org.apache.hadoop.fs.s3a.s3guard.MetadataStoreTestBase.testPruneUnsetsAuthoritative(MetadataStoreTestBase.java:737) (...)

[ERROR] testDeleteSubtree(org.apache.hadoop.fs.s3a.s3guard.ITestDynamoDBMetadataStore)  Time elapsed: 2.377 s  <<< FAILURE!
java.lang.AssertionError: Directory /ADirectory2 is null in cache (...)

[ERROR] testPutNew(org.apache.hadoop.fs.s3a.s3guard.ITestDynamoDBMetadataStore)  Time elapsed: 1.466 s  <<< FAILURE!
java.lang.AssertionError: Directory /da2 is null in cache (...)

[ERROR] testDeleteSubtreeHostPath(org.apache.hadoop.fs.s3a.s3guard.ITestDynamoDBMetadataStore)  Time elapsed: 2.378 s  <<< FAILURE!
java.lang.AssertionError: Directory s3a://cloudera-dev-gabor-ireland/ADirectory2 is null in cache (...)
{noformat}

I create this jira to handle and fix all of these issues.",gabor.bota
HADOOP-15945,ABFS: replace $superuser with local user,"if the owner of file/path is $superUser, we should  replace it with local user.",danielzhou
HADOOP-15943,AliyunOSS: add missing owner & group attributes for oss FileStatus,"Owner & group attributes are missing when you list oss objects via hadoop command:
{code:java}
Found 6 items
drwxrwxrwx - 0 2018-08-01 21:37 /1024
drwxrwxrwx - 0 2018-10-30 11:07 /50
-rw-rw-rw- 1 94070 2018-11-08 21:48 /a
-rw-rw-rw- 1 2441079322 2018-10-31 10:14 /lineitem.csv
drwxrwxrwx - 0 1970-01-01 08:00 /tmp
drwxrwxrwx - 0 1970-01-01 08:00 /user
{code}
 

The result should like below(hadoop fs -ls hdfs://master:8020/):
{code:java}
Found 5 items
drwxr-xr-x - hbase hbase 0 2018-11-18 17:31 hdfs://master:8020/hbase
drwxrwxrwt - hdfs supergroup 0 2018-10-30 11:07 hdfs://master:8020/tmp
drwxr-xr-x - hdfs supergroup 0 2018-10-30 10:39 hdfs://master:8020/user
{code}
However, oss objects do not have owner & group attributes like hadoop files,  so we assume both owner & group are the current user at the time the FS was instantiated.",wujinhu
HADOOP-15940,"ABFS: For HNS account, avoid unnecessary get call when doing Rename","When rename, there is always a GET dst file status call, this is not necessary.",danielzhou
HADOOP-15939,Filter overlapping objenesis class in hadoop-client-minicluster ,"As mentioned here and found in with latest Jenkins shadedclient.

Jenkins does not provide a detailed output file for the failure though. But it can be reproed with the following cmd:
{code:java}
mvn verify -fae --batch-mode -am -pl hadoop-client-modules/hadoop-client-check-invariants -pl hadoop-client-modules/hadoop-client-check-test-invariants -pl hadoop-client-modules/hadoop-client-integration-tests -Dtest=NoUnitTests -Dmaven.javadoc.skip=true -Dcheckstyle.skip=true -Dfindbugs.skip=true

{code}
Error Message:
{code:java}
[WARNING] objenesis-1.0.jar, mockito-all-1.8.5.jar define 30 overlapping classes: 

[WARNING]   - org.objenesis.ObjenesisBase

[WARNING]   - org.objenesis.instantiator.gcj.GCJInstantiator

[WARNING]   - org.objenesis.ObjenesisHelper

[WARNING]   - org.objenesis.instantiator.jrockit.JRockitLegacyInstantiator

[WARNING]   - org.objenesis.instantiator.sun.SunReflectionFactoryInstantiator

[WARNING]   - org.objenesis.instantiator.ObjectInstantiator

[WARNING]   - org.objenesis.instantiator.gcj.GCJInstantiatorBase$DummyStream

[WARNING]   - org.objenesis.instantiator.basic.ObjectStreamClassInstantiator

[WARNING]   - org.objenesis.ObjenesisException

[WARNING]   - org.objenesis.Objenesis

[WARNING]   - 20 more...

[WARNING] maven-shade-plugin has detected that some class files are

[WARNING] present in two or more JARs. When this happens, only one

[WARNING] single version of the class is copied to the uber jar.

[WARNING] Usually this is not harmful and you can skip these warnings,

[WARNING] otherwise try to manually exclude artifacts based on

[WARNING] mvn dependency:tree -Ddetail=true and the above output.

[WARNING] See [http://maven.apache.org/plugins/maven-shade-plugin/]

[INFO] Replacing original artifact with shaded artifact.

{code}
 ",xyao
HADOOP-15936,[JDK 11] MiniDFSClusterManager & MiniHadoopClusterManager compilation fails due to the usage of '_' as identifier,"{code:xml}
[ERROR] COMPILATION ERROR :
[INFO] -------------------------------------------------------------
[ERROR] /hadoop/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/test/MiniDFSClusterManager.java:[130,37] as of release 9, '_' is a keyword, and may not be used as an identifier
[INFO] 1 error
{code}

{code:xml}
[ERROR] COMPILATION ERROR :
[INFO] -------------------------------------------------------------
[ERROR] /hadoop/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-jobclient/src/test/java/org/apache/hadoop/mapreduce/MiniHadoopClusterManager.java:[140,37] as of release 9, '_' is a keyword, and may not be used as an identifier
[INFO] 1 error
{code}
",zvenczel
HADOOP-15934,ABFS: make retry policy configurable,"Currently the retry policy parameter is hard coded, should make it configurable for user.",danielzhou
HADOOP-15932,Oozie unable to create sharelib in s3a filesystem,"Oozie server unable to start cause of below exception.
s3a expects a file to copy it in store but sharelib is a folder containing all the needed components jars.
Hence throws the exception :
_Not a file: /usr/hdp/current/oozie-server/share/lib_

{code:java}
[oozie@sg-hdp1 ~]$ /usr/hdp/current/oozie-server/bin/oozie-setup.sh sharelib create -fs s3a://hdp -locallib /usr/hdp/current/oozie-server/share
  setting OOZIE_CONFIG=${OOZIE_CONFIG:-/usr/hdp/current/oozie-client/conf}
  setting CATALINA_BASE=${CATALINA_BASE:-/usr/hdp/current/oozie-client/oozie-server}
  setting CATALINA_TMPDIR=${CATALINA_TMPDIR:-/var/tmp/oozie}
  setting OOZIE_CATALINA_HOME=/usr/lib/bigtop-tomcat
  setting JAVA_HOME=/usr/jdk64/jdk1.8.0_112
  setting JRE_HOME=${JAVA_HOME}
  setting CATALINA_OPTS=""$CATALINA_OPTS -Xmx2048m""
  setting OOZIE_LOG=/var/log/oozie
  setting CATALINA_PID=/var/run/oozie/oozie.pid
  setting OOZIE_DATA=/hadoop/oozie/data
  setting OOZIE_HTTP_PORT=11000
  setting OOZIE_ADMIN_PORT=11001
  setting JAVA_LIBRARY_PATH=/usr/hdp/3.0.0.0-1634/hadoop/lib/native/Linux-amd64-64
  setting OOZIE_CLIENT_OPTS=""${OOZIE_CLIENT_OPTS} -Doozie.connection.retry.count=5 ""
  setting OOZIE_CONFIG=${OOZIE_CONFIG:-/usr/hdp/current/oozie-client/conf}
  setting CATALINA_BASE=${CATALINA_BASE:-/usr/hdp/current/oozie-client/oozie-server}
  setting CATALINA_TMPDIR=${CATALINA_TMPDIR:-/var/tmp/oozie}
  setting OOZIE_CATALINA_HOME=/usr/lib/bigtop-tomcat
  setting JAVA_HOME=/usr/jdk64/jdk1.8.0_112
  setting JRE_HOME=${JAVA_HOME}
  setting CATALINA_OPTS=""$CATALINA_OPTS -Xmx2048m""
  setting OOZIE_LOG=/var/log/oozie
  setting CATALINA_PID=/var/run/oozie/oozie.pid
  setting OOZIE_DATA=/hadoop/oozie/data
  setting OOZIE_HTTP_PORT=11000
  setting OOZIE_ADMIN_PORT=11001
  setting JAVA_LIBRARY_PATH=/usr/hdp/3.0.0.0-1634/hadoop/lib/native/Linux-amd64-64
  setting OOZIE_CLIENT_OPTS=""${OOZIE_CLIENT_OPTS} -Doozie.connection.retry.count=5 ""
SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/usr/hdp/3.0.0.0-1634/oozie/lib/slf4j-simple-1.6.6.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/usr/hdp/3.0.0.0-1634/oozie/libserver/log4j-slf4j-impl-2.10.0.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/usr/hdp/3.0.0.0-1634/oozie/libserver/slf4j-log4j12-1.6.6.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
SLF4J: Actual binding is of type [org.slf4j.impl.SimpleLoggerFactory]
518 [main] WARN org.apache.hadoop.util.NativeCodeLoader - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
605 [main] INFO org.apache.hadoop.conf.Configuration.deprecation - mapred.local.dir is deprecated. Instead, use mapreduce.cluster.local.dir
619 [main] INFO org.apache.hadoop.security.SecurityUtil - Updating Configuration
the destination path for sharelib is: /user/oozie/share/lib/lib_20181114154552
log4j:WARN No appenders could be found for logger (org.apache.htrace.core.Tracer).
log4j:WARN Please initialize the log4j system properly.
log4j:WARN See http://logging.apache.org/log4j/1.2/faq.html#noconfig for more info.
1118 [main] WARN org.apache.hadoop.metrics2.impl.MetricsConfig - Cannot locate configuration: tried hadoop-metrics2-s3a-file-system.properties,hadoop-metrics2.properties
1172 [main] INFO org.apache.hadoop.metrics2.impl.MetricsSystemImpl - Scheduled Metric snapshot period at 10 second(s).
1172 [main] INFO org.apache.hadoop.metrics2.impl.MetricsSystemImpl - s3a-file-system metrics system started
2255 [main] INFO org.apache.hadoop.conf.Configuration.deprecation - fs.s3a.server-side-encryption-key is deprecated. Instead, use fs.s3a.server-side-encryption.key

Error: Not a file: /usr/hdp/current/oozie-server/share/lib

Stack trace for the error was (for debug purposes):
--------------------------------------
java.io.FileNotFoundException: Not a file: /usr/hdp/current/oozie-server/share/lib
	at org.apache.hadoop.fs.s3a.S3AFileSystem.innerCopyFromLocalFile(S3AFileSystem.java:2375)
	at org.apache.hadoop.fs.s3a.S3AFileSystem.copyFromLocalFile(S3AFileSystem.java:2339)
	at org.apache.hadoop.fs.FileSystem.copyFromLocalFile(FileSystem.java:2386)
	at org.apache.oozie.tools.OozieSharelibCLI.run(OozieSharelibCLI.java:182)
	at org.apache.oozie.tools.OozieSharelibCLI.main(OozieSharelibCLI.java:67)
--------------------------------------

2268 [pool-2-thread-1] INFO org.apache.hadoop.metrics2.impl.MetricsSystemImpl - Stopping s3a-file-system metrics system...
2268 [pool-2-thread-1] INFO org.apache.hadoop.metrics2.impl.MetricsSystemImpl - s3a-file-system metrics system stopped.
2268 [pool-2-thread-1] INFO org.apache.hadoop.metrics2.impl.MetricsSystemImpl - s3a-file-system metrics system shutdown complete.
{code}
 
These logs are with DEBUG mode on.
_log4j.logger.org.apache.hadoop.fs.s3a=DEBUG_",stevel@apache.org
HADOOP-15931,support 'hadoop key create' with user specified key material,{{hadoop key create}} command should support creation of keys with user specified key material.,vinayrpet
HADOOP-15930,Exclude MD5 checksum files from release artifact,"create-release script creates md5 checksum files, but now md5 checksum is useless.

https://www.apache.org/dev/release-distribution.html#sigs-and-sums
bq. For new releases, PMCs MUST supply SHA-256 and/or SHA-512; and SHOULD NOT supply MD5 or SHA-1. Existing releases do not need to be changed.",ajisakaa
HADOOP-15926,Document upgrading the section in NOTICE.txt when upgrading the version of AWS SDK,"Reported by [~stevel@apache.org]

bq. Hadoop 3.2 + has a section in hadoop-tools/hadoop-aws/src/site/markdown/tools/hadoop-aws/testing.md about what to do when updating the SDK...this needs to be added there. Anyone fancy supplying a patch?

https://issues.apache.org/jira/browse/HADOOP-15899?focusedCommentId=16675121&page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel#comment-16675121",dineshchitlangia
HADOOP-15925,The config and log of gpg-agent are removed in create-release script,"The config file and log file of gpg-agent are located at {{patchprocess}} directory, and then, {{git clean -xdf}} removes the directory. That way the config and log of gpg-agent are lost.",dineshchitlangia
HADOOP-15923,create-release script should set max-cache-ttl as well as default-cache-ttl for gpg-agent,"create-release script sets default-cache-ttl for gpg-agent to 14400 (4 hours), however, max-cache-ttl is not set and the default value is 7200 (2 hours).
If mvn full install takes more than 2 hours, gpg-agent will fail to sign.",ajisakaa
HADOOP-15922,DelegationTokenAuthenticationFilter get wrong doAsUser since it does not decode URL,"DelegationTokenAuthenticationFilter get wrong doAsUser when proxy user from client is complete kerberos name (e.g., user/hostname@REALM.COM, actually it is acceptable), because DelegationTokenAuthenticationFilter does not decode DOAS parameter in URL which is encoded by {{URLEncoder}} at client.
e.g. KMS as example:
a. KMSClientProvider creates connection to KMS Server using DelegationTokenAuthenticatedURL#openConnection.
b. If KMSClientProvider is a doAsUser, KMSClientProvider will put {{doas}} with url encoded user as one parameter of http request. 
{code:java}
    // proxyuser
    if (doAs != null) {
      extraParams.put(DO_AS, URLEncoder.encode(doAs, ""UTF-8""));
    }
{code}
c. when KMS server receives the request, it does not decode the proxy user.

As result, KMS Server will get the wrong proxy user if this proxy user is complete Kerberos Name or it includes some special character. Some other authentication and authorization exception will throws next to it.",hexiaoqiao
HADOOP-15920,"get patch for S3a nextReadPos(), through Yetus",,jack-lee
HADOOP-15919,AliyunOSS: Enable Yarn to use OSS,Uses DelegateToFileSystem to expose AliyunOSSFileSystem as an AbstractFileSystem,wujinhu
