key,summary,description,assignee
AIRFLOW-5450,Google Analytics code throws error on startup,"On loading of the airflow site, this error appears:

```

Uncaught DOMException: Failed to execute 'appendChild' on 'Node': This node type does not support this method.
 at https://airflow.apache.org/:1003:45
 at [https://airflow.apache.org/:1004:9]

```

This blocks Google Analytics from reporting anything.",aizhamal
AIRFLOW-5449,Can't commit blank values on variable edits,"On Airflow, when going to ""admin >> variables"" and attempting to change the value of an existing variable to nothing, the changes aren't being set properly and saving the edit does nothing. This bug fix should allow users to blank out the values of existing variables.",andrew.desousa
AIRFLOW-5448,Make Kubernetes Executor compatible with Istio service mesh,"Istio service mesh is not compatible by default with Kubernetes Jobs. The normal behavior is that a Job will be started, get an istio-proxy sidecar attached to it via the istio mutating webhook, run until completion, then the 'main' container in the pod stops, but istio-proxy hangs around indefinitely. This applies to the Kubernetes Executor.

Very recently, Istio implemented an endpoint that can be called to cleanly exit the proxy, specifically designed for this use case.
 - explanation: [https://github.com/istio/istio/issues/15041]
 - istio PR implementing it: [https://github.com/istio/istio/pull/15406]

Astronomer will make a contribution to handle cleanly exit the istio-proxy by default. This will help Astronomer and other Airflow users making use of the Kubernetes Executor in combination with Istio.

Original PR for solving this issue: [https://github.com/astronomer/airflow/pull/47]

We will integrate into the Astronomer fork, then upstream after complying with all Airflow PR standards.",sjmiller609
AIRFLOW-5447,KubernetesExecutor hangs on task queueing,"Starting in 1.10.4, and continuing in 1.10.5, when using the KubernetesExecutor, with the webserver and scheduler running in the kubernetes cluster, tasks are scheduled, but when added to the task queue, the executor process hangs indefinitely. Based on log messages, it appears to be stuck at this line https://github.com/apache/airflow/blob/v1-10-stable/airflow/contrib/executors/kubernetes_executor.py#L761",dimberman
AIRFLOW-5446,Rewrite Google KMS Hook with Google Api Client,,tobked
AIRFLOW-5444,action_logging missing important fields such as Dag Id and Task Id for POST actions,"For example, when user admin cleared a task example_bash_operator, the log looks like this:
{code:python}
Id	Dttm	Dag Id	Task Id	Event	Execution Date	Owner	Extra
78	09-09T02:04:56.663074+00:00	example_bash_operator	graph	admin	[('dag_id', 'example_bash_operator'), ('root', '')]
77	09-09T02:04:56.606590+00:00	None	clear	admin	[]
76	09-09T02:04:55.155144+00:00	None	clear	admin	[]
75	09-09T02:04:48.419288+00:00	example_bash_operator	task_instances	09-08T00:00:00+00:00	admin	[('dag_id', 'example_bash_operator'), ('execution_date', '2019-09-08T00:00:00+00:00')]
{code}
Some important fields for the event ""clear"" are not populated: Dag Id, Task Id. These fields would have been very helpful for troubleshooting or audit purposes.

The same problem happens for event ""failed"". It probably happens to many other actions too.
{code:python}
Id	Dttm	Dag Id	Task Id	Event	Execution Date	Owner	Extra
78	09-09T02:04:56.663074+00:00	example_bash_operator	graph	admin	[('dag_id', 'example_bash_operator'), ('root', '')]
77	09-09T02:04:56.606590+00:00	None	clear	admin	[]
76	09-09T02:04:55.155144+00:00	None	clear	admin	[]
75	09-09T02:04:48.419288+00:00	example_bash_operator	task_instances	09-08T00:00:00+00:00	admin	[('dag_id', 'example_bash_operator'), ('execution_date', '2019-09-08T00:00:00+00:00')]
{code}
 

For POST actions, the request object looks like this. request.args is empty. request.form is what we need to find those fields. So the action_logging decorator needs to be fixed to look for request.form when the action is POST.
{code:python}
request.args: 
 ImmutableMultiDict([])
 request.form: 
 ImmutableMultiDict([('task_id', 'run_this_last'), ('execution_date', '2019-09-08T00:00:00+00:00'), ('dag_id', 'example_bash_operator'), ('confirmed', 'true'), ('recursive', 'true'),... ('downstream', 'true'), ('origin', 'http://localhost:8080/graph?dag_id=example_bash_operator')])
{code}",yuqian90
AIRFLOW-5443,Use alpine image in Kubernetes's sidecar,,dimberman
AIRFLOW-5442,Druid broker hook get pandas DataFrame implementation,The  *get_pandas_df* of *DruidDbApiHook* returns NotImplementedError.,blcksrx
AIRFLOW-5426,Adjust import path in Dataproc example,,urbaszek
AIRFLOW-5424,Type annotations for GCP hooks,,tobked
AIRFLOW-5423,Type annotations for GCP sensors,,tobked
AIRFLOW-5422,Add type annotations to GCP operators,,tobked
AIRFLOW-5419,Marking task failed doesn't kill the task when it is run through impersonation(run_as_user),"Airflow dag which is run using ""run_as_user"" doesn't get killed when SIGTERM signal is sent to the process.

When task is marked for failure by user or by scheduler - SIGTERM signal is sent to kill the process, but task has a different user id and it requires sudo kill to be killed.

 ",bharathpalaksha
AIRFLOW-5417,Webserver won't start with long DagBag parsing,"When DB disconnect during DagBag creation, webserver will fail to start. This becomes a big issue when DagBag is large enough that creating it takes more time than DB server side connection expire limit. As it will fail webserver start up determinisitically.",yrqls21
AIRFLOW-5416,Simplify the process of continually developing airflow-on-k8s images,"Currently, if a user wants to develop an airflow docker image to push to a k8s cluster, they need to re-download all airflow pip dependencies EVERY time they run `scripts/ci/kubernetes/docker/build.sh`. This PR will allow users to create a ""lower layer"" of all pip dependencies to significantly reduce build times.",dimberman
AIRFLOW-5415,Druid Broker Hook does not respect authentication parameters,Currently the druid broker hook does not pass the login and password from the airflow connection to the broker. ,blcksrx
AIRFLOW-5413,Get pod configuration from JSON or Yaml,"Currently the Kubernetes components of Airflow try to recreate the Kubernetes API, but don't let users pass in their own JSON or YAML. This feature would allow users to do this.",davlum
AIRFLOW-5412,Add get_conn/get_client tests to hooks,,tobked
AIRFLOW-5411,Too much noise is printed during pre-commit checks,There is far too much noise printed during pre-commit checks (for example here [https://travis-ci.org/apache/airflow/jobs/581153290] ). It used to be much less but now the docker build command output is printed in auto-commit output when it fails.,higrys
AIRFLOW-5406,Allow spark_submit_hook to run without pip install kubernetes/airflow[kubernetes],Allow spark_submit_hook to run without pip install kubernetes/airflow[kubernetes],dimberman
AIRFLOW-5403,Fix input check in GKE Operator,,tobked
AIRFLOW-5402,Remove deprecated logger,,fokko
AIRFLOW-5398,Update contrib example DAGs to context manager,,eladk
AIRFLOW-5396,Add button to Auto Refresh Airflow UI,"Currently, to follow up the tasks running on Airflow UI (mainly when we are at development) we should click at button ""Refresh"". When we need to know the finishing of a task we have to click many times at this button.

It would be useful to have a new button ""Auto Refresh"" which we could click and just wait the UI showing us the status while Airflow executes.

We can do another thing meanwhile and just return to the UI screen when it's finished.

So this button should:

when clicked start an auto refresh 

when clicked again stop the auto refresh",lucas.fonseca
AIRFLOW-5395,Fix unloading with column names containing a dot in RedshiftToS3Operator,,feluelle
AIRFLOW-5392,README.md update,Add [Logitravel Group|[http://example.com]|https://www.logitravel.com/] and [Bluekiri|https://bluekiri.com/] to companies that uses Apache Airflow,sergio.soto
AIRFLOW-5390,Remove provide_context,,fokko
AIRFLOW-5387,Pagination is broken when the config variable hide_paused_dags_by_default is set to True because showPaused variable is removed,"Url parameters are clean to remove useless parameters:
{code:python}
// https://github.com/apache/airflow/blob/master/airflow/www/utils.py#L68-L71
    if 'showPaused' in kwargs:
      v = kwargs['showPaused']
      if v or v is None:
         kwargs.pop('showPaused')
{code}

When the configuration variable _hide_paused_dags_by_default_ is set to True, removing the parameter showPaused disable access to the correct paginated pages when navigating to ""Show Paused DAGs"" .
Pagination is fine for the first page but when going on second page, only ""active"" DAGs are presented.

Fix: 
- showPaused parameter should not be removed and therefore lines 68 to 71 (included) could be removed.

 

 ",alrolorojas
AIRFLOW-5382,Add possibility to send dag_folder path to TriggerDagRunOperator,"Hi, Airflow team!
We found that to use TriggerDagRunOperator become very slow in our architecture because there is a lot of dags in default DagBag. And default dag folder is parsed by TriggerDagRunOperator by default in trigger_dag method. We will appreciate if you approve adding a not required parameter 'dag_folder' to get possible send path to separate directory with triggered dag and avoid parsing whole DagFolder dir. 

I will open a PR is idea is not too bad.  ",xnuinside
AIRFLOW-5376,Codecov does not work for new CI  :(,,higrys
AIRFLOW-5373,Super fast pre-commit check for basic python2 compatibility (for cherry-picking),"I thought about a super-fast way of protecting against bad python3 cherry-picks in our v1-10-test branch. From the experience, it looks like we have two types of problems most often:
 # super()
 # python3 type annotations in definition of function parameters/return values
 # python3 type annotations in variables

I tried to find some good ""proper"" solution to check automatically if the code is python2-compliant but surprisingly could not find anything fast and good (actually there are plenty of python3 compat checkers and auto-converters but I could not find good verification is some python3 constructs are used in python2 code).

However it came to me that we can likely do a simple grep that should be able to catch vast majority of those case with very limited (if at all) false positives. It turned out to be a good idea for 1 and 2 (which is vast majority of cases I think) :

Such simple and straigthforward regexp does the work beautifully:

 
{code:java}
"".super\\(\\)|^\\s+def\\s*\\S*\\([^):]*:.*\\)|^\\sdef\\s*\\S*\\(.*\\):\\s*\\-\\>\\s*\\S*"" 
{code}
I managed to find two actual problems (but the code was in comments so no impact ! )- Python3 incompatibilitites in v1-10-test this way (!!!). In master we have 830 matching lines (attached) so I think it's rather good.

I also added another check with py_compile run on all files. It works perfectly for v1-10-test and for master produces plenty of syntax errors. Attached as well. 

 

 

 

 ",higrys
AIRFLOW-5370,Add typehint to GCP's Task Hook,,ryan.yuan
AIRFLOW-5369,Add interactivity to pre-commit image building,"Currently when images are out-dated for pre-commit it just fails with message how to re-run it with rebuild next time. Also when you already run pre-commit, ^C does not work as expected - the main script is killed but the docker images running the checks continue running in the background until they finish. This is pretty annoying as killing such running docker containers is not trivial and for pylint/mypy/flake we can run multiple containers if we run it on many modified files. This is because wer are not using dumb-init to run the checks.

 

This is discouraging a bit, so instead a bit of interactivity can be added:

1) If image gets out-dated a question is asked whether to rebuild it while pre-commit is executed

2) If you run pre-commit directly you do not get asked for rebuild because you can run multiple pre-commit scripts in parallel  (pre-commit does it) so you should fail fast (with helpful instructions)

3) If you run pre-commit via breeze, it is optimised because only the image that is actually needed is rebuilt (and question is asked then)

4) Additionally - you should be able to press ^C and kill all containers running in the background as well as the main script. ",higrys
AIRFLOW-5362,Imports are not ordered properly,Imports in the projects are not ordered properly and there's no unified way to sort them. This causes big headache resolving conflicts and the lookings of the code base :D,yrqls21
AIRFLOW-5360,Type annotations for BaseSensorOperator,,tobked
AIRFLOW-5359,Update type annotations in BaseOperator,,tobked
AIRFLOW-5357,Fix Content-Type for exported variables.json file,"Credits to Anurag Jain for reporting this:

It was observed that the content type is set incorrectly while exporting variables in Apache Airflow. 

>>> 
>>> Steps:
>>> 
>>> 1. Open the Apache Airflow
>>> 2. Create a new variable at /admin/variable/
>>> 3. Keep the key as <input> and value as <input>
>>> 4. Save this variable
>>> 5. Export this variable using Mozilla Firefox Browser
>>> 6. Observe that the downloaded file is saved as <name>.json.htm instead of <name>.json. This happens since Apache airflow sets Response Content-Type as text/html instead of application/json which causes Browser to interpret it as a HTML ",kaxilnaik
AIRFLOW-5351,Move all GCP Cloud SQL tests in 1 file,"There are 2 file currently where these tests live:

1) tests/gcp/hooks/test_cloud_sql.py
2) tests/hooks/test_gcp_sql_hook.py",kaxilnaik
AIRFLOW-5350,Fix bug in the num_retires field in BigQueryHook,"The `num_retries` extra is no set in old connections that were created before 1.10.4, for those fields it's value is None which causes the below error:

From the StackOverflow Post:


{noformat}
 [2019-08-27 02:49:58,076] {cli.py:516} INFO - Running <TaskInstance: cadastro_remessas_paises2.gcs_to_bq 2019-08-27T02:42:43.970619+00:00 [running]> on host cadastroremessaspaises2gcstobq-78f1ea099c3b4e718ba707cb03ffda1e 
    [2019-08-27 02:49:58,136] {logging_mixin.py:95} INFO - [[34m2019-08-27 02:49:58,136[0m] {[34mdiscovery.py:[0m271} INFO[0m - URL being requested: GET [1mhttps://www.googleapis.com/discovery/v1/apis/bigquery/v2/rest[0m[0m 
    [2019-08-27 02:49:59,259] {logging_mixin.py:95} INFO - [[34m2019-08-27 02:49:59,259[0m] {[34mmy_functions_google.py:[0m2224} INFO[0m - Project not included in [1mdestination_project_dataset_table[0m: [1mcadastro_remessas.paises2[0m; using project ""[1mbigdata-staging[0m""[0m 
    [2019-08-27 02:49:59,266] {logging_mixin.py:95} INFO - [[34m2019-08-27 02:49:59,266[0m] {[34mdiscovery.py:[0m867} INFO[0m - URL being requested: POST https://www.googleapis.com/bigquery/v2/projects/bigdata-staging/jobs?alt=json[0m 
    [2019-08-27 02:49:59,266] {taskinstance.py:1047} ERROR - unsupported operand type(s) for +: 'NoneType' and 'int' Traceback (most recent call last):   File ""/usr/local/lib/python3.7/site-packages/airflow/models/taskinstance.py"", line 922, in _run_raw_task
        result = task_copy.execute(context=context)   
        File ""/airflow/dags/git/subfolder/my_functions_google.py"", line 2502, in execute
        cluster_fields=self.cluster_fields)   
        File ""/airflow/dags/git/subfolder/my_functions_google.py"", line 1396, in run_load
        return self.run_with_configuration(configuration)   
        File ""/airflow/dags/git/subfolder/my_functions_google.py"", line 1414, in run_with_configuration
        .execute(num_retries=self.num_retries)   
        File ""/usr/local/lib/python3.7/site-packages/googleapiclient/_helpers.py"", line 130, in positional_wrapper
        return wrapped(*args, **kwargs)   
        File ""/usr/local/lib/python3.7/site-packages/googleapiclient/http.py"", line 851, in execute
        method=str(self.method), body=self.body, headers=self.headers)   
        File ""/usr/local/lib/python3.7/site-packages/googleapiclient/http.py"", line 153, in _retry_request
        for retry_num in range(num_retries + 1): TypeError: unsupported operand type(s) for +: 'NoneType' and 'int'
{noformat}
",kaxilnaik
AIRFLOW-5348,Deprecated chart view doesn't escape label,,ashb
AIRFLOW-5345,Extract SqlSensor's get_hook functionality to an auxiliary function,"Due to security reasons we have an alternative PostgreSQL hook that fetches credentials dynamically.

We would still like to use the SqlSensor functionality as is as our hook is still backed by sqlalchemy.

By extracting SqlSensor's get_hook into a method we can override the _get_hook method without affecting the functionality of the hook.

 ",gmaliar
AIRFLOW-5342,Can't run initdb using Microsoft SQL server,"I'm using Microsoft SQL server 2016 as metadata db (for the sql_alchemy_conn), and pymssql as the Python driver.

When running airflow initdb, airflow creates a table named `TaskInstance` with column `pool` that is initially Nullable (when the table is created).

Later, an index named `ti_pool` on a few columns, including `pool` column in table `TaskInstance`.

Then, airflow will try to alter table `TaskInstance` and change the column `pool` to `NOT NULL`.

This does not work on Microsoft SQL Server since a column with an index defined on it cannot be changed, unless the index is deleted before.",mortenbpost
AIRFLOW-5339,Wait forever spark hook if python version is 3,"I found spark hook is not terminating forever.

Because Python 3 *{{subprocess.Popen}}* return {{*bytes*}}, *{{iter(sp.stdout.readlin, '')}}* pattern codes are not work.

I will submit PR.",toughrogrammer
AIRFLOW-5338,Add a RedsfhitToS3Operator,Create an Airflow operator that queries Redshift and persists the results to S3. We should be able to leverage the existing code in https://github.com/apache/airflow/blob/master/airflow/contrib/operators/dynamodb_to_s3.py to handle the flush to s3 logic. We should abstract that logic to a base class and let RedshiftToS3Operator and DynamodbToS3Operator inherits that base class,milton0825
AIRFLOW-5337,Add a PostgresToS3Operator,Create an Airflow operator that queries Postgres and persists the results to S3. We should be able to leverage the existing code in https://github.com/apache/airflow/blob/master/airflow/contrib/operators/dynamodb_to_s3.py to handle the flush to s3 logic. We should abstract that logic to a base class and let PostgresToS3Operator and DynamodbToS3Operator inherits that base class,milton0825
AIRFLOW-5335,Update GCSHook methods so they need min IAM perms,"After we refactored to using Storage client in GCS, we need more IAM permissions.

This is because we use `get_bucket` method which requires `storage.bucket.list` permission. Instead of that if we use `bucket` method that creates Bucket object we don't need the above permission.",kaxilnaik
AIRFLOW-5320, Add system tests for PubSub,,urbaszek
AIRFLOW-5318,BigQuery - Option to specify location when creating an empty dataset,"h2. Problem

To specify the location for a new empty dataset, the user has to add it to the _dataset_reference_.
h2. Proposed improvement

Add _location_ as an extra argument to the BigQueryCreateEmptyDatasetOperator to specify the location of the new dataset.",mbanayosy
AIRFLOW-5316,Checklicence with Apache RAT tool takes long time on Mac,"It takes long time because you cannot make it run selectively only on changed files and Mac OSX filesystem for Docker is slow enough to make it run for 30 seconds.

 

The solution is to change it so that it is only triggered by  a file that does not change too often so that it is not run locally but it will be run on CI with --al-files flag.",higrys
AIRFLOW-5315,TaskInstance not updating from DB when user changes executor_config,"There is a bug with the {{executor_config}} that does not reflect changes after update in “Task Instance Attribute” (it reflects on Task Attributes, though).",dimberman
AIRFLOW-5313,Add params support for awsbatch_operator,AWS Batch supports [passing parameters to jobs|https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/batch.html#Batch.Client.submit_job].  Update AWSBatchOperator to include an optional parameters value.,jrowen
AIRFLOW-5312,KubernetesPodOperator hangs when kubernetes API times out,"The KubernetesPodOperator launches a Pod in Kubernetes and then continues to watch its state and stream its logs. This is done via the Kubernetes Api. Not all calls to the Kubernetes Api have a timeout defined, so the operator will wait indefinitely for a response and therefore get stuck.

This is the same issue as https://issues.apache.org/jira/browse/AIRFLOW-5282 but now in the KubernetesPodOperator.

The solution is to add a timeout on all Api calls, and handle the errors (catching them, adding tenacity retrying where appropriate).

 ",rdeboo
AIRFLOW-5309,Use assert_called_once or has_calls in tests,Using mock.assert_call_with method can result in flaky tests (ex. iterating through dict in python 3.5 which does not store order of elements). That's why it's better to use assert_called_once_with or has_calls methods.,urbaszek
AIRFLOW-5306,Fix the display of links when they contain special characters,,kamil.bregula
AIRFLOW-5305,Sort extra links by name,,kamil.bregula
AIRFLOW-5304,Fix extra links in BigQueryOperator with multiple queries,,kamil.bregula
AIRFLOW-5303,Use project_id from GCP credentials,,kamil.bregula
AIRFLOW-5302,Fix bug in none_skipped Trigger Rule ,"The task been set none_skipped run immediately even before upstream tasks complete execution.

Check the attached gif",kaxilnaik
AIRFLOW-5296,Do Not pickle DAGs by default,Pickling is not safe and some fields are not pickleable.,kaxilnaik
AIRFLOW-5292,Allow ECSOperator to tag tasks,In its current state the ECSOperator does not allow tagging tasks. Goal of this ticket is to enable the ECSOperator to tag tasks.,phoffmann
AIRFLOW-5290,Add is updated before and between to GoogleCloudStorageHook,"GoogleCloudStorageHook provides the function to test if a blob is updated after a given timestamp, but not before in between two timestamps.",derrik
AIRFLOW-5289,Make `body` parameter templated for all gcp operators,"Several gcp operators make the `body` parameter templated, but a handful don't. It's often useful to control `body` fields via templates, and we should be consistent, so let's make `body` templated for all gcp operators.",jmcarp
AIRFLOW-5286,Add requeue logic to airflow scheduler and executor,"Airflow queued tasks sometime stuck for long time without being picked up. In many cases the root cause is hard to debug. 

The proposed solution here is to add requeue logic in airflow scheduler and executor. For tasks with a queued state in metaDB. If the task did not show in executor.queued_tasks in a certain inteval, we requeue the task so that stuck tasks can be released and picked up. The solution was used in Airbnb and proven to be helpful. ",ellenwang
AIRFLOW-5284,Replace warn by warning,"Got a warning on using a deprecated method:
dag_processing.py:689: DeprecationWarning: The 'warn' method is deprecated, use 'warning' instead",fokko
AIRFLOW-5282,KubernetesExecutor hangs when kubernetes API times out,"While migrating to a different Kubernetes cluster, we observe that the scheduler hangs very frequently. No output is generated in the logs. The UI states:

`{{The scheduler does not appear to be running. Last heartbeat was received 9 minutes ago.`}}

I've attached py-spy to the scheduler process to investigate. This is the output:

 
{code:java}
  %Own   %Total  OwnTime  TotalTime  Function (filename:line)
 100.00% 100.00%   38.00s    38.00s   recv_into (OpenSSL/SSL.py:1821)
  0.00% 100.00%   0.000s    38.00s   sync (airflow/contrib/executors/kubernetes_executor.py:795)
  0.00% 100.00%   0.000s    38.00s   request_encode_body (urllib3/request.py:150)
  0.00% 100.00%   0.000s    38.00s   begin (http/client.py:307)
  0.00% 100.00%   0.000s    38.00s   recv_into (urllib3/contrib/pyopenssl.py:304)
  0.00% 100.00%   0.000s    38.00s   wrapper (airflow/utils/cli.py:74)
  0.00% 100.00%   0.000s    38.00s   create_namespaced_pod_with_http_info (kubernetes/client/apis/core_v1_api.py:6206)
  0.00% 100.00%   0.000s    38.00s   _make_request (urllib3/connectionpool.py:383)
  0.00% 100.00%   0.000s    38.00s   _execute_helper (airflow/jobs/scheduler_job.py:1412){code}

 
 Next, I've added debug logging to `cli.py` on urlib3. This confirmed that the scheduler hangs at the point where no response comes from the kubernetes API:
{code:java}

(base) macbook:~ roland$ kubectl logs airflow-scheduler-7c5d6df8f4-w4tpn > logs.txt
(base) macbook:~ roland$ cat logs.txt | grep pod_launcher.py
[2019-08-20 14:40:10,471] {pod_launcher.py:60} DEBUG - Pod Creation Request:
[2019-08-20 14:40:10,652] {pod_launcher.py:63} DEBUG - Pod Creation Response: {'api_version': 'v1',
[2019-08-20 14:43:03,213] {pod_launcher.py:60} DEBUG - Pod Creation Request:
[2019-08-20 14:43:03,296] {pod_launcher.py:63} DEBUG - Pod Creation Response: {'api_version': 'v1',
[2019-08-20 14:44:38,078] {pod_launcher.py:60} DEBUG - Pod Creation Request:
[2019-08-20 14:44:38,409] {pod_launcher.py:63} DEBUG - Pod Creation Response: {'api_version': 'v1',
[2019-08-20 14:44:39,804] {pod_launcher.py:60} DEBUG - Pod Creation Request:
[2019-08-20 14:44:39,867] {pod_launcher.py:63} DEBUG - Pod Creation Response: {'api_version': 'v1',
[2019-08-20 14:45:21,785] {pod_launcher.py:60} DEBUG - Pod Creation Request:
[2019-08-20 14:45:22,040] {pod_launcher.py:63} DEBUG - Pod Creation Response: {'api_version': 'v1',
[2019-08-20 14:50:22,224] {pod_launcher.py:60} DEBUG - Pod Creation Request:
{code}
It appears that the timeout can already be specified in the `airflow.cfg`, but the default is infinite. In kubernetes section: `kube_client_request_args = {""_request_timeout"" : [60,60] }`

When I added the timeout, the scheduler will not hang anymore, but exit with an error (and be restarted by Kubernetes).

I propose a PR which:
 * Adds a default _request_timeout in airflow.cfg, so that default installations will not hang indefinitely
 * Catches the errors in the scheduler, and retries scheduling the task, in a similar fashion to how ApiExcptions are caught. (https://github.com/apache/airflow/blob/46885ccdbc8618f295b8f986da95c1abbb85bb02/airflow/executors/kubernetes_executor.py#L800-L803)

 

 ",rdeboo
AIRFLOW-5280,aws_default's region_name defaults to us-east-1 which causes major confusion for connections that do not use this region,"The `aws_default`  by default specifies the `region_name` to be
 `us-east-1` in its `extra` field. This causes trouble when the desired
 AWS account uses a different region as this default value has priority
 over the $AWS_REGION and $AWS_DEFAULT_REGION environment variables,
 gets passed directly to `botocore` and does not seem to be documented.

It seems that the best way of dealing with this situation would be to remove this default variable. The result of this would be that all aws_default connection parameters would have to manually define it which seems to be consistent with ""explicit better than implicit"" philosophy.",mrshu
AIRFLOW-5278,Add a mark failure button under mark success button in the tree view,"Currently there is no way to mark a task as failure after clicking on a task instance in the tree view. There should be a ""Mark Failure"" button under the ""Mark Success"" one.

Marking a task as successful might not be desired as it becomes hard to distinguish which tasks actually ran and which did not by viewing the UI.",smcqueen
AIRFLOW-5276,Remove unused helpers from airflow.utils.helpers,"At the very least {{is_in}} is not used in the code base any more, and it's behaviour has changed subtly in Python 3.7 so the tests fail there too.

So lets remove that helper, and it's associated tests, plus anything else not used any more.",houqp
AIRFLOW-5275,Add support for template parameters in DataprocWorkflowTemplateInstantiateOperator,"Implement passing parameter values when instantiating parametrized Dataproc workflow templates. While Dataproc API supports it ([https://cloud.google.com/dataproc/docs/reference/rest/v1/projects.locations.workflowTemplates/instantiate]) it's not implemented in DataprocWorkflowTemplateInstantiateOperator yet.

 

The implementation plan is to add a map of parameters to request body:
{code:java}
body={
      'requestId': str(uuid.uuid4()),
      'parameters': parameters
}
{code}
in [https://github.com/apache/airflow/blob/master/airflow/contrib/operators/dataproc_operator.py]",michal.brys
AIRFLOW-5274,dag.loading-duration metric name too long,"see conversation here - https://github.com/apache/airflow/pull/5350/files/5375a9af21db970651c17f947558b6fc180f0dd3#r315774306

problem:
when a single file generates a lot of dags, the metric name is huge

possible solution:
- is it not possible to append the name of the file where the dags are generated instead of appending {{'_'.join(dag_ids)}}  ?
- update the description in `docs/metrics.rst` to match the implementation
",taofeng
